# 英文缩拼词
# 根据此文件更新对应的 en_dicts/en_ext.dict.yaml
# version: 2024-05-10
ABS	Anti-lock Braking System
ACG	Animation Comics Games
ADC	Attack Damage Carry
ADHD	attention deficit hyperactivity disorder
ADSL	Asymmetric Digital Subscriber Line
AGI	Artificial general intelligence
AIGC	AI Generated Content
AOSP	Android Open Source Project
APC	Ability Power Carry
APFS	Apple File System
API	Application Programming Interface
APK	Android application package
ARM	Advanced RISC Machine
ASAP	as soon as possible
ASMR	Autonomous sensory meridian response
ATM	automated teller machine
AUR	Arch User Repository
AV	Adult Video
AVIF	AV1 Image File Format
AWP	Arctic Warfare Police
AWS	Amazon Web Services
BBQ	barbecue
BBS	Bulletin Board System
BGM	Background music
BIOS	Basic Input/Output System
BMW	Bayerische Motoren Werke AG
BSD	Berkeley Software Distribution
BTC	Bitcoin
BTW	by the way
Braavos	Braavos Wallet
CBA	Chinese Basketball Association
CCTV	Closed-Circuit Television	China Central Television
CDN	Content Delivery Network
CDPR	CD Projekt
CEF	Chromium Embedded Framework
CEO	Chief Executive Officer
CFO	Chief Financial Officer
CLI	Command-Line Interface
COO	Chief Operating Officer
CPU	Central Processing Unit
CRUD	Create Read Update Delete
CS	Counter-Strike
CSS	Cascading Style Sheets
CTO	Chief Technology Officer
Cpp	C++
DDoS	distributed denial-of-service attack
DHCP	Dynamic Host Configuration Protocol
DIY	Do It Yourself
DLC	Downloadable content
DMCA	Digital Millennium Copyright Act
DNA	deoxyribonucleic acid
DNS	Domain Name System
DOS	Disk Operating System
DYOR	Do Your Own Research
DnD	D&D	Dungeons & Dragons
DoH	DNS over HTTPS	DNS over HTTPS/3
DoQ	DNS over QUIC
DoS	denial-of-service attack
EMS	Express Mail Service
ExFAT	Extended File Allocation Table
FAQ	Frequently Asked Question
FBI	Federal Bureau of Investigation
FIFA	Fédération Internationale de Football Association
FIFO	First In, First Out
FOMO	Fear of Missing Out
FOSS	Free and open source software
FPGA	field-programmable gate array
FTP	File Transfer Protocol
FYI	for your information
GBA	Game Boy Advance
GBC	Game Boy Color
GCC	GNU Compiler Collection
GCD	Grand Central Dispatch	greatest common divisor
GDP	Gross Domestic Product
GDP per capita	Gross Domestic Product per capita
GDPR	General Data Protection Regulation
GFM	GitHub Flavored Markdown
GFW	Great Firewall
GIF	Graphics Interchange Format
GMT	Greenwich Mean Time
GNU	GNU General Public License
GPL	GNU General Public License
GPT	Generative Pre-trained Transformer
GPU	Graphics Processing Unit
